TIME,NS1_FLOW [m^3 s^-1],NS1_SALT_FLUX [psu m^3 s^-1],NS1_TEMP_FLUX [degrees celsius m^3 s^-1],NS2_FLOW [m^3 s^-1],NS2_SALT_FLUX [psu m^3 s^-1],NS2_TEMP_FLUX [degrees celsius m^3 s^-1]
01/05/2011 00:00:00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
01/05/2011 00:15:20,  0.2000001E+02,  0.0000000E+00,  0.2000001E+03,  0.1778770E+03,  0.6225695E+04,  0.3557540E+04
01/05/2011 00:30:44,  0.2000008E+02,  0.0000000E+00,  0.2000008E+03,  0.7480698E+02,  0.2621877E+04,  0.1496140E+04
01/05/2011 00:45:22,  0.2000008E+02, -0.1250471E+00,  0.1998757E+03, -0.7062588E+02, -0.1943765E+04, -0.1411838E+04
01/05/2011 01:00:16,  0.2000003E+02, -0.6188635E+00,  0.1993815E+03, -0.2163878E+03, -0.5127578E+04, -0.4322764E+04
01/05/2011 01:15:32,  0.2000004E+02, -0.1270563E+01,  0.1987299E+03, -0.2344464E+03, -0.4341684E+04, -0.4680350E+04
01/05/2011 01:30:06,  0.2000004E+02, -0.1826709E+01,  0.1981740E+03, -0.2749152E+03, -0.4005676E+04, -0.5484810E+04
01/05/2011 01:45:19,  0.2000008E+02, -0.1987312E+01,  0.1980140E+03, -0.2403482E+03, -0.2932829E+04, -0.4792012E+04
01/05/2011 02:00:14,  0.2000006E+02, -0.2027053E+01,  0.1979743E+03, -0.1294013E+03, -0.1401819E+04, -0.2577502E+04
01/05/2011 02:15:10,  0.1999996E+02, -0.2009746E+01,  0.1979907E+03, -0.8433407E+01,  0.5136650E+03, -0.1650126E+03
01/05/2011 02:30:07,  0.2000001E+02, -0.1886271E+01,  0.1981148E+03,  0.4042175E+02,  0.1585770E+04,  0.8094158E+03
01/05/2011 02:45:25,  0.2000012E+02, -0.1739160E+01,  0.1982631E+03,  0.9713276E+01,  0.6923616E+03,  0.1963146E+03
01/05/2011 03:00:22,  0.2000002E+02, -0.1685202E+01,  0.1983162E+03, -0.4539536E+02, -0.5442428E+03, -0.9017723E+03
01/05/2011 03:15:22,  0.2000010E+02, -0.1711999E+01,  0.1982903E+03, -0.7822208E+02, -0.1104402E+04, -0.1554975E+04
01/05/2011 03:30:09,  0.2000006E+02, -0.1717586E+01,  0.1982845E+03, -0.9742201E+02, -0.1360012E+04, -0.1936411E+04
01/05/2011 03:45:05,  0.2000008E+02, -0.1680683E+01,  0.1983218E+03, -0.1004445E+03, -0.1332624E+04, -0.1995763E+04
01/05/2011 04:00:30,  0.2000002E+02, -0.1610046E+01,  0.1983920E+03, -0.6702224E+02, -0.7960285E+03, -0.1330270E+04
01/05/2011 04:15:44,  0.2000005E+02, -0.1549516E+01,  0.1984529E+03,  0.1599343E+02,  0.8244457E+03,  0.3220643E+03
01/05/2011 04:30:07,  0.2000003E+02, -0.1496857E+01,  0.1985055E+03,  0.8176721E+02,  0.2861853E+04,  0.1635344E+04
01/05/2011 04:45:42,  0.2000007E+02, -0.1424767E+01,  0.1985781E+03,  0.1008888E+03,  0.3531106E+04,  0.2017776E+04
01/05/2011 05:00:21,  0.2000005E+02, -0.1342574E+01,  0.1986601E+03,  0.8360027E+02,  0.2926010E+04,  0.1672005E+04
01/05/2011 05:15:07,  0.2000003E+02, -0.1319698E+01,  0.1986828E+03,  0.7471965E+02,  0.2615188E+04,  0.1494393E+04
01/05/2011 05:30:13,  0.2000006E+02, -0.1325965E+01,  0.1986769E+03,  0.6537650E+02,  0.2288177E+04,  0.1307530E+04
01/05/2011 05:45:15,  0.2000012E+02, -0.1324524E+01,  0.1986790E+03,  0.4779675E+02,  0.1672886E+04,  0.9559351E+03
01/05/2011 06:00:19,  0.2000009E+02, -0.1298822E+01,  0.1987045E+03,  0.4245761E+02,  0.1486017E+04,  0.8491522E+03
01/05/2011 06:15:34,  0.2000004E+02, -0.1286829E+01,  0.1987160E+03,  0.7384489E+02,  0.2584571E+04,  0.1476897E+04
01/05/2011 06:30:00,  0.2000007E+02, -0.1285668E+01,  0.1987174E+03,  0.1178395E+03,  0.4124383E+04,  0.2356791E+04
01/05/2011 06:45:13,  0.2000007E+02, -0.1281158E+01,  0.1987219E+03,  0.1377223E+03,  0.4820280E+04,  0.2754446E+04
01/05/2011 07:01:00,  0.2000005E+02, -0.1269792E+01,  0.1987331E+03,  0.1321013E+03,  0.4623547E+04,  0.2642027E+04
01/05/2011 07:15:33,  0.2000006E+02, -0.1276432E+01,  0.1987266E+03,  0.1152176E+03,  0.4032616E+04,  0.2304352E+04
01/05/2011 07:30:33,  0.2000007E+02, -0.1307254E+01,  0.1986959E+03,  0.9670679E+02,  0.3384738E+04,  0.1934136E+04
01/05/2011 07:45:43,  0.2000002E+02, -0.1347079E+01,  0.1986555E+03,  0.7342567E+02,  0.2570166E+04,  0.1468514E+04
01/05/2011 08:00:59,  0.2000005E+02, -0.1388475E+01,  0.1986145E+03,  0.5671182E+02,  0.1985502E+04,  0.1134239E+04
01/05/2011 08:15:02,  0.2000007E+02, -0.1431274E+01,  0.1985719E+03,  0.4767170E+02,  0.1669465E+04,  0.9534377E+03
01/05/2011 08:30:04,  0.2000011E+02, -0.1485484E+01,  0.1985182E+03,  0.5470065E+02,  0.1915091E+04,  0.1094015E+04
01/05/2011 08:45:54,  0.2000002E+02, -0.1541736E+01,  0.1984611E+03,  0.6043458E+02,  0.2115588E+04,  0.1208693E+04
01/05/2011 09:00:36,  0.2000007E+02, -0.1604904E+01,  0.1983986E+03,  0.6185359E+02,  0.2165167E+04,  0.1237073E+04
01/05/2011 09:15:27,  0.2000006E+02, -0.1670717E+01,  0.1983328E+03,  0.3509211E+02,  0.1229822E+04,  0.7018503E+03
