Site,Region,Easting,Northing,Mean #shoots2015,Mean #shoots2014,Mean #shoots2013,Mean #shoots2012,Mean #shoots2011,Mean #shoots2010,Mean #shoots2009
LC,1,387125,5978124,18.78,13.94,15.44,51.3,101.48,94.9,13.72
LC,2,387125,5978149,30.94,14.98,20.1,35.52,84.84,88.9,13.14
LC,3,387125,5978174,20.74,1.88,9.44,41.08,70.04,86.64,13.72
LC,4,387125,5978199,0.26,4.22,16.74,57.38,70.48,75.38,11.46
LP,1,334157,6048571,0,0,0,0,0,0.8,0.6
LP,2,334161,6048595,0,0,0,0,0,0.1,0.14
LP,3,334165,6048620,0,0,0,0,0,1.38,0
LP,4,334169,6048644,0,0,0,0,0,10.12,0.26
MF,1,354909,6029500,26.44,2.74,2.66,0,0.08,0.06,0
MF,2,354909,6029525,32.34,3.64,6.08,0,0.44,0,0
MF,3,354909,6029550,20.64,8.4,0.12,0.52,0.5,0,0
MF,4,354909,6029575,21.86,14.28,1,0,0.1,0,0
NM,1,342648,6042165,0,0.14,0.14,0,0.02,42.6,1.96
NM,2,342641,6042189,0,0,0,0,0,25.64,1.16
NM,3,342634,6042213,0,0,0,0,0,18.52,1.5
NM,4,342627,6042237,0,0.24,0.24,0,0.22,18.66,0.64
PP,1,372643,6009050,1.74,1.1,0.26,0,0,0,0
PP,2,372621,6009062,1.1,1.1,0.1,0,0,0,0
PP,3,372599,6009074,2.72,1,0,0,0,0,0
PP,4,372577,6009086,2.06,0.06,0.7,0,0,0,0
PS,1,369807,6008149,19.78,4.32,0.04,0,,,
PS,2,369802,6008124,14.28,0,0,0,,,
PS,3,369797,6008099,6.8,0,0,0,,,
PS,4,369792,6008074,2.76,0,0,0,,,
RP,1,345050,6039085,0,0,0,0,0,37.58,34.5
RP,2,345033,6039103,0,0.1,0.1,0,0,41.96,35.32
RP,3,345016,6039121,0,0.04,0.04,0,0,43.24,33.5
RP,4,344999,6039139,0,0,0,0,0,44.02,32.3
S06W,1,357887,6024022,4.96,8.42,13.52,7.42,,,
S06W,2,357907,6024011,2.32,11.64,10.6,7.7,,,
S06W,3,357927,6024000,2.7,8.86,8.52,3.64,,,
S06W,4,357947,6023989,4.28,12.12,12.68,0.9,,,
S21E,1,370410,6013365,0,0,0,0,,,
S21E,2,370410,6013388,0,0,0,0,,,
S21E,3,370410,6013413,0.56,0,0,0,,,
S21E,4,370410,6013438,0.04,0.94,0,0,,,
S39W,1,376648,5997326,0.18,0.2,0,0,,,
S39W,2,376653,5997301,0.4,0,0,0,,,
S39W,3,376658,5997276,1.42,0,0,0,,,
S39W,4,376663,5997251,1.4,0,0,0,,,
SC,1,377783,6000935,0.62,0,0,0,0,0,0
SC,2,377781,6000960,1.14,0,0,0,0,0,0
SC,3,377779,6000985,2.44,0,0,0,0,0,0
SC,4,377777,6001010,0.38,0.1,0,0,0,0,0
TTX,1,378862,5996562,0.4,0.78,0,0,0,0,0
TTX,2,378847,5996582,0.58,0.08,0,0,0,0,0
TTX,3,378832,5996602,0.02,0.52,0,0,0,0,0
TTX,4,378817,5996622,0,0.02,0,0,0,0,0
VDY,1,360367,6025055,9.5,15.38,6.26,1.98,2.4,0,0
VDY,2,360353,6025076,14.04,20.6,8.36,11.58,4.76,0,0
VDY,3,360339,6025097,6.72,19.4,7.46,4.64,3.5,0,0
VDY,4,360325,6025118,29.36,23.28,8.68,5.48,17.26,0,0
