ID,X,Y,NAME
1,159.0713145,-31.36090759,TRANSECT_1
1,159.0773512,-31.35854952,TRANSECT_1
2,159.0864769,-31.37713113,TRANSECT_2
2,159.0898254,-31.3741128,TRANSECT_2
3,159.0882691,-31.39684461,TRANSECT_3
3,159.0959092,-31.38538438,TRANSECT_3
4,159.1143965,-31.40439044,TRANSECT_4
4,159.1175563,-31.40184372,TRANSECT_4
5,159.117462,-31.41608647,TRANSECT_5
5,159.120103,-31.41877467,TRANSECT_5
6,159.1200087,-31.4302349,TRANSECT_6
6,159.1245362,-31.42787683,TRANSECT_6
7,159.1265642,-31.43895977,TRANSECT_7
7,159.1280262,-31.44103487,TRANSECT_7
8,159.0745923,-31.38453547,TRANSECT_8
8,159.0823739,-31.38227172,TRANSECT_8

